693nm,691nm,527nm,525nm,340nm,530nm,523nm,532nm,695nm,520nm,534nm,696nm,625nm,623nm,627nm,685nm,629nm,621nm,631nm,537nm,634nm,619nm,800nm,689nm,794nm,821nm,636nm,518nm,795nm,806nm,809nm,812nm,617nm,638nm,801nm,414nm,798nm,584nm,539nm,687nm,582nm,580nm,354nm,827nm,417nm,698nm,578nm,348nm,587nm,640nm,L*,a*,b*,Date
0.001500521,0.006233722,0.613191843,0.602406621,0.004975561,0.628364921,0.595765829,0.645129025,0.000339304,0.600027442,0.661729217,0.000237237,0.921662629,0.930845618,0.911816955,0.059535321,0.89958781,0.938970685,0.885517895,0.676500916,0.869106233,0.94135648,0.000401372,0.024961853,0.00039864,0.00038516,0.851344466,0.613031507,0.000395284,0.000403515,0.000388029,0.000397245,0.939616203,0.832434416,0.000407202,0.011511931,0.000406271,0.855397046,0.68897903,0.041921809,0.848890424,0.842641652,0.000244377,0.000391284,0.029532893,0.000181168,0.83661747,0.000375222,0.861495674,0.81172812,80.07,-3.78,52.42,Day1
0.00147466,0.00616474,0.611044884,0.600301147,0.004904126,0.626204789,0.593707919,0.642965555,0.000331798,0.597996116,0.659567058,0.000231549,0.921831369,0.930982649,0.912018597,0.059572216,0.89982456,0.939077675,0.88579309,0.674345374,0.869422793,0.941439152,0.000392476,0.02489008,0.000389739,0.000376462,0.851701677,0.611034751,0.000386453,0.000394546,0.000379339,0.000388344,0.939675331,0.83283174,0.000398156,0.011404834,0.000397228,0.854636192,0.686828613,0.041907392,0.848052979,0.841724932,0.000238469,0.000382506,0.029336758,0.000176639,0.835622907,0.000366671,0.860808015,0.812164187,79.09,-3.21,52.18,Day1
0.001420551,0.00601146,0.613211155,0.602359891,0.004728111,0.628429174,0.595621228,0.645218492,0.000315428,0.599758744,0.661841393,0.000219513,0.922427714,0.931563854,0.912629783,0.059345622,0.900441706,0.939641058,0.886412323,0.676638722,0.870033979,0.942005217,0.000372053,0.02459841,0.000369437,0.00035668,0.852293193,0.612619638,0.00036622,0.000373953,0.000359498,0.000368083,0.940264702,0.83339417,0.000377403,0.011036697,0.000376661,0.855831027,0.689144254,0.041635495,0.849316239,0.84306097,0.000225353,0.000362517,0.028634043,0.000167144,0.837031305,0.00034734,0.861940503,0.812690735,81.46,-4.1,53.66,Day1
0.001136658,0.005184654,0.611108422,0.600059807,0.003851326,0.626473844,0.59300983,0.643345892,0.000234713,0.59671706,0.660046816,0.000160215,0.925174415,0.934120536,0.91557014,0.058636319,0.903555989,0.94200635,0.889700055,0.67493844,0.873472452,0.944274127,0.000273964,0.023197321,0.000271758,0.000261571,0.855839193,0.60908258,0.000269092,0.00027509,0.000264137,0.000270552,0.942511141,0.837012172,0.000277724,0.009342946,0.000277509,0.856481791,0.687542915,0.040537592,0.849862576,0.843507409,0.000162416,0.000266349,0.025344713,0.000120542,0.837383926,0.000254288,0.862702191,0.816350102,82.78,-4.93,57.99,Day1
0.001991686,0.007529201,0.61610204,0.605542004,0.006441452,0.631108463,0.599268079,0.647785425,0.000493251,0.604046524,0.664304972,0.000353374,0.918523848,0.927914262,0.908468723,0.060525574,0.896058857,0.936250448,0.881813467,0.678976059,0.8652578,0.938750863,0.000590751,0.026922202,0.000587505,0.00056989,0.847402513,0.617645741,0.000583382,0.000594697,0.000572728,0.000586123,0.937049866,0.828441501,0.000599893,0.014179643,0.000597568,0.855098128,0.691348553,0.043418594,0.848727107,0.8426072,0.000369593,0.000577575,0.034385752,0.000273947,0.836701035,0.000556416,0.861052692,0.807720542,84.65,-2.21,46.66,Day1
0.002081026,0.007744449,0.618897796,0.608315766,0.006698692,0.633896887,0.602023423,0.650560975,0.000522639,0.606818795,0.667062044,0.00037607,0.917819858,0.927283049,0.907689512,0.060522802,0.895205319,0.935690522,0.880880773,0.681706786,0.864245534,0.938238442,0.000626837,0.027163893,0.000623591,0.000605262,0.846319139,0.620429873,0.000619291,0.000631124,0.000608023,0.000622196,0.936570644,0.827292681,0.000636594,0.014598958,0.000634108,0.855787456,0.694054306,0.043533109,0.84952122,0.843508959,0.000394042,0.000613188,0.035119098,0.000292291,0.837709069,0.000591193,0.861640692,0.806512475,83.41,-2.96,46.51,Day1
0.00211202,0.007824894,0.619462371,0.608871102,0.006780833,0.634466529,0.602573514,0.651136458,0.00053251,0.607373118,0.667643309,0.000383638,0.917929769,0.92738843,0.907804906,0.060600121,0.895326018,0.935791254,0.881008148,0.682292342,0.86438024,0.938340485,0.000638716,0.027282098,0.000635462,0.000616934,0.846459806,0.62098968,0.000631124,0.000643152,0.000619652,0.000634136,0.936679721,0.827439487,0.00064873,0.014729914,0.000646127,0.85616523,0.69464469,0.043628618,0.849916339,0.843921244,0.000402078,0.000624937,0.035344727,0.000298387,0.838136375,0.000602689,0.8620013,0.806665599,87.04,-2.74,46.29,Day1
0.001911299,0.007322747,0.616088271,0.605488122,0.00620481,0.631119728,0.599150419,0.64780724,0.000467196,0.603845716,0.664335012,0.000333572,0.918878794,0.928251266,0.908841133,0.060340736,0.896443784,0.936568558,0.882208586,0.679016232,0.865657449,0.939059317,0.000558557,0.026609477,0.00055539,0.000538424,0.847800255,0.617347598,0.00055137,0.000562167,0.000541297,0.000553974,0.93735677,0.828831375,0.000567108,0.013753557,0.00056507,0.855207562,0.691399813,0.043167889,0.848832428,0.842710316,0.000348112,0.00054587,0.033628963,0.000258047,0.836803913,0.000525526,0.861168385,0.80809772,82.77,-2.7,47.66,Day1
0.001902307,0.007297332,0.619006753,0.608314395,0.006161188,0.634080291,0.601859033,0.650785685,0.000463667,0.606449485,0.667324066,0.000331087,0.91913861,0.928524852,0.909086704,0.060204927,0.896667898,0.936852872,0.882407129,0.682010651,0.865822673,0.93936348,0.000553461,0.026518403,0.000550389,0.000533567,0.847925663,0.619824767,0.000546332,0.000557031,0.000536393,0.000549012,0.937693477,0.828912139,0.000561944,0.01362368,0.000560044,0.856536686,0.694403052,0.043045368,0.850258708,0.844237864,0.000344966,0.000540958,0.033387106,0.000256096,0.838431001,0.000520831,0.862406313,0.808131099,85.83,-3.54,48.63,Day1
0.002215884,0.008077892,0.620064139,0.609510303,0.007085151,0.635038853,0.603273153,0.651691854,0.000567468,0.608158827,0.668182492,0.000410538,0.917316794,0.926816821,0.90715003,0.06075291,0.894634664,0.935261667,0.880280733,0.682811737,0.863622248,0.937834322,0.000682119,0.027625684,0.0006788,0.000659448,0.845680773,0.62187314,0.000674323,0.000687004,0.000662077,0.000677501,0.936182499,0.826647043,0.000692911,0.015260211,0.000689961,0.856102943,0.695143461,0.043876246,0.849881589,0.843913257,0.000431405,0.000667729,0.03626769,0.000320135,0.838153601,0.000644462,0.861910164,0.805866241,87.07,-2.55,45.34,Day1
0.000950484,0.004605601,0.606197953,0.59508884,0.003276536,0.621635377,0.587909877,0.638551176,0.000185443,0.59137094,0.655299902,0.000124568,0.927102149,0.935881615,0.917668462,0.058195539,0.905817866,0.943603396,0.892130017,0.670259118,0.87606132,0.945775568,0.000214964,0.022181427,0.000213025,0.000204525,0.858559787,0.603455663,0.000210774,0.000215675,0.000206863,0.000211931,0.943964064,0.839841127,0.000217793,0.008226394,0.000217789,0.855572939,0.682932615,0.039772805,0.848760188,0.842210591,0.000125191,0.000208578,0.023093214,9.28e-05,0.835899651,0.000198534,0.861985624,0.81926614,80.34,-4.63,60.42,Day1
0.001012646,0.004805598,0.605420411,0.594404697,0.003476023,0.620800734,0.587361634,0.637687802,0.000201743,0.590984046,0.654412866,0.000136222,0.926383734,0.935200572,0.916912556,0.058469858,0.9050318,0.942961037,0.891316473,0.669346929,0.875229537,0.945146263,0.000234654,0.022585807,0.00023259,0.000223503,0.857722759,0.603257537,0.000230217,0.0002355,0.000225943,0.00023145,0.943325639,0.83901006,0.000237789,0.008644663,0.000237678,0.854889512,0.68199271,0.040132672,0.84805727,0.841484845,0.000137454,0.000227813,0.023951499,0.000101832,0.835149646,0.00021705,0.861316979,0.818450093,80.11,-3.93,58.87,Day1
0.00081404,0.004158433,0.600341797,0.58922565,0.002850876,0.615820527,0.581990004,0.632763863,0.000151257,0.585278988,0.649547875,0.000100167,0.928770483,0.937389374,0.91950202,0.057901025,0.907815039,0.944954872,0.894298553,0.664563894,0.878397942,0.947032571,0.000174374,0.021370368,0.000172642,0.000165393,0.861043334,0.59716785,0.000170714,0.000174832,0.000167521,0.000171654,0.945166528,0.84245348,0.000176586,0.00738548,0.000176677,0.854207039,0.677294731,0.039184436,0.847168267,0.840389013,0.0001,0.000168894,0.021343773,7.4e-05,0.833854795,0.00016033,0.860841095,0.821990013,78.36,-3.75,61.99,Day1
0.000971737,0.004673484,0.605406642,0.594350398,0.003347956,0.620812237,0.587242961,0.637709975,0.000191084,0.590781093,0.654443383,0.000128587,0.926707149,0.935505867,0.917253673,0.058290917,0.905386984,0.943247676,0.891683698,0.669387758,0.875603855,0.945424438,0.000221861,0.022322306,0.000219873,0.000211159,0.85809809,0.60295552,0.00021758,0.000222614,0.000213539,0.00021875,0.943603814,0.839380562,0.000224789,0.008383494,0.000224748,0.854999065,0.682044864,0.039900165,0.848163128,0.841588616,0.000129463,0.000215304,0.023418767,9.59e-05,0.835253298,0.000204997,0.861432433,0.81881094,78.36,-3.75,61.99,Day1
0.00081404,0.004158433,0.600341797,0.58922565,0.002850876,0.615820527,0.581990004,0.632763863,0.000151257,0.585278988,0.649547875,0.000100167,0.928770483,0.937389374,0.91950202,0.057901025,0.907815039,0.944954872,0.894298553,0.664563894,0.878397942,0.947032571,0.000174374,0.021370368,0.000172642,0.000165393,0.861043334,0.59716785,0.000170714,0.000174832,0.000167521,0.000171654,0.945166528,0.84245348,0.000176586,0.00738548,0.000176677,0.854207039,0.677294731,0.039184436,0.847168267,0.840389013,0.0001,0.000168894,0.021343773,7.4e-05,0.833854795,0.00016033,0.860841095,0.821990013,78.22,-4.31,59.69,Day1
0.000971737,0.004673484,0.605406642,0.594350398,0.003347956,0.620812237,0.587242961,0.637709975,0.000191084,0.590781093,0.654443383,0.000128587,0.926707149,0.935505867,0.917253673,0.058290917,0.905386984,0.943247676,0.891683698,0.669387758,0.875603855,0.945424438,0.000221861,0.022322306,0.000219873,0.000211159,0.85809809,0.60295552,0.00021758,0.000222614,0.000213539,0.00021875,0.943603814,0.839380562,0.000224789,0.008383494,0.000224748,0.854999065,0.682044864,0.039900165,0.848163128,0.841588616,0.000129463,0.000215304,0.023418767,9.59e-05,0.835253298,0.000204997,0.861432433,0.81881094,78.22,-4.31,59.69,Day1
0.00071701,0.00382221,0.599441886,0.588203013,0.002535442,0.615009189,0.580776691,0.632001579,0.000127816,0.583806396,0.648831367,8.37e-05,0.930264652,0.938777447,0.92110467,0.05749784,0.909518242,0.946237326,0.896102905,0.663902283,0.880292416,0.948267102,0.000146447,0.020663831,0.00014491,0.000138584,0.863004506,0.595393777,0.0001432,0.00014675,0.000140518,0.000144019,0.94639796,0.844461381,0.000148252,0.006710635,0.000148431,0.854738295,0.676691413,0.038585328,0.847650707,0.840825319,8.29e-05,0.000141668,0.01989175,6.14e-05,0.834247947,0.000134215,0.861424983,0.824027538,79.74,-4.23,64.33,Day1
